index,lat,lon
83,26.659449,87.286757
84,26.6594045,87.2869115
85,26.65936,87.287066
86,26.659309,87.287181
87,26.659276,87.287319
88,26.659243,87.287457
89,26.65919025,87.28760025
90,26.6591375,87.2877435
91,26.659084749999998,87.28788675000001
92,26.659032,87.28803
93,26.658984750000002,87.28817275
94,26.6589375,87.28831550000001
95,26.65889025,87.28845825
96,26.658842999999997,87.288601
97,26.658795749999996,87.28874375
98,26.658748499999998,87.28888649999999
99,26.65870125,87.28902925
100,26.658654,87.289172
101,26.658594,87.28941
102,26.658564,87.289558
103,26.6585005,87.28977950000001
104,26.658437,87.290001
105,26.658376,87.290214
106,26.65834325,87.29038625000001
107,26.6583105,87.2905585
108,26.65827775,87.29073075
109,26.658245,87.290903
110,26.65822875,87.29110225
111,26.6582125,87.2913015
112,26.658196250000003,87.29150075000001
113,26.65818,87.2917
114,26.658181,87.29195050000001
115,26.658182,87.292201
116,26.658183,87.2924515
117,26.658184,87.292702
118,26.658184,87.292777
119,26.658185,87.29297249999999
120,26.658186,87.293168
121,26.658186875,87.29339199999998
122,26.65818775,87.29361599999999
123,26.658188625,87.29383999999999
124,26.6581895,87.29406399999999
125,26.658190375,87.294288
126,26.65819125,87.294512
127,26.658192125,87.294736
128,26.658193,87.29496
129,26.65819475,87.295121875
130,26.658196500000003,87.29528375000001
131,26.65819825,87.29544562500001
132,26.6582,87.2956075
133,26.65820175,87.29576937499999
134,26.6582035,87.29593125
135,26.65820525,87.296093125
136,26.658207,87.296255
137,26.65820575,87.2963895
138,26.6582045,87.296524
139,26.65820325,87.2966585
140,26.658202,87.296793
141,26.658208000000002,87.2969765
142,26.658214,87.29716
143,26.658221,87.297363
144,26.658224,87.297578
145,26.658226374999998,87.29777637500001
146,26.65822875,87.29797475000001
147,26.658231125,87.298173125
148,26.6582335,87.2983715
149,26.658235875000003,87.298569875
150,26.65823825,87.29876825
151,26.658240624999998,87.29896662499999
152,26.658243,87.299165
153,26.658245,87.2993045
154,26.658247,87.299444
155,26.658248,87.29965349999999
156,26.658248999999998,87.29986299999999
157,26.65825,87.3000725
158,26.658251,87.300282
159,26.658252,87.30049149999999
160,26.658253000000002,87.300701
161,26.658254,87.3009105
162,26.658255,87.30112
163,26.6582565,87.301321
164,26.658258,87.301522
165,26.65825625,87.30172900000001
166,26.658254499999998,87.30193600000001
167,26.65825275,87.302143
168,26.658251,87.30235
169,26.65825125,87.3025165
170,26.6582515,87.302683
171,26.658251749999998,87.30284950000001
172,26.658252,87.303016
173,26.658247,87.303141
174,26.658249249999997,87.303318875
175,26.6582515,87.30349675
176,26.65825375,87.303674625
177,26.658256,87.3038525
178,26.658258250000003,87.304030375
179,26.6582605,87.30420825
180,26.65826275,87.30438612500001
181,26.658265,87.304564
182,26.658264000000003,87.3047835
183,26.658263,87.305003
184,26.658261000000003,87.3051555
185,26.658259,87.305308
186,26.658261,87.305508
187,26.658262,87.305637
188,26.658263,87.305766
189,26.6582685,87.305964
190,26.658274,87.306162
191,26.6582755,87.306315
192,26.658277,87.306468
193,26.6582785,87.306621
194,26.65828,87.306774
195,26.65828175,87.30691924999999
196,26.658283500000003,87.3070645
197,26.658285250000002,87.30720975
198,26.658287,87.307355
199,26.658286750000002,87.30760425
200,26.658286500000003,87.3078535
201,26.658286250000003,87.30810274999999
202,26.658286,87.308352
203,26.658286,87.30855
204,26.6582905,87.3087025
205,26.658295,87.308855
206,26.658298000000002,87.3090885
207,26.658301,87.309322
208,26.658303,87.3095
209,26.658305,87.309678
210,26.65830725,87.30985625
211,26.658309499999998,87.3100345
212,26.658311749999996,87.31021275
213,26.658313999999997,87.31039100000001
214,26.65831625,87.31056925000001
215,26.6583185,87.3107475
216,26.65832075,87.31092575
217,26.658323,87.311104
218,26.658324999999998,87.311272
219,26.658327,87.31144
220,26.6583265,87.31169075
221,26.658326000000002,87.3119415
222,26.658325500000004,87.31219225000001
223,26.658325,87.312443
224,26.658327,87.3126325
225,26.658329000000002,87.31282200000001
226,26.658331,87.31301150000002
227,26.658333,87.313201
228,26.658334,87.3133535
229,26.658335,87.313506
230,26.658335,87.313569
231,26.658338,87.313713
232,26.658352,87.31389300000001
233,26.658366,87.314073
234,26.65838,87.314131
235,26.658399,87.314208
236,26.658417,87.314282
237,26.658449,87.314362
238,26.658523,87.314529
239,26.6586115,87.3146915
240,26.6587,87.314854
241,26.6587935,87.314997
242,26.658887,87.31514
243,26.65895,87.315262
244,26.659013,87.315474
245,26.659039,87.3156395
246,26.659065,87.315805
247,26.659069,87.315947
248,26.659073,87.316089
249,26.659052,87.316318
250,26.658995,87.316523
251,26.658978,87.316585
252,26.65891775,87.31679925
253,26.658857500000003,87.3170135
254,26.658797250000003,87.31722775
255,26.658737000000002,87.317442
256,26.65867675,87.31765625
257,26.6586165,87.3178705
258,26.65855625,87.31808475
259,26.658496,87.318299
260,26.658487,87.318346
261,26.658458500000002,87.31850025
262,26.658430000000003,87.31865450000001
263,26.658401500000004,87.31880875
264,26.658373,87.318963
265,26.658371,87.319087
266,26.658369999999998,87.319217
267,26.658369,87.319347
268,26.658368,87.319488
269,26.658370875000003,87.31969725
